,loss,val_loss
0,0.006151498295366764,0.00010420334729133174
1,9.164556831819937e-05,8.762654761085287e-05
2,8.345206879312173e-05,8.339377382071689e-05
3,8.102567517198622e-05,8.149118366418406e-05
4,7.97922839410603e-05,8.04197698016651e-05
5,7.893046858953312e-05,8.222727046813816e-05
6,7.808597729308531e-05,7.827841182006523e-05
7,7.756226841593161e-05,7.839881436666474e-05
8,7.765324698993936e-05,9.232645970769227e-05
9,7.785351044731215e-05,7.83820723881945e-05
10,7.739847933407873e-05,8.15383464214392e-05
11,7.785329944454134e-05,7.865871157264337e-05
12,7.797344733262435e-05,8.040646935114637e-05
13,7.826546061551198e-05,7.658243703190237e-05
14,7.802365144016221e-05,7.775259291520342e-05
15,7.728229684289545e-05,7.731252117082477e-05
16,7.806428038747981e-05,7.878692849772051e-05
17,7.672273204661906e-05,7.63666903367266e-05
18,7.726612966507673e-05,7.694520900258794e-05
19,7.715343235759065e-05,8.399888611165807e-05
20,7.641725824214518e-05,7.610007742187008e-05
21,7.664354052394629e-05,7.356484275078401e-05
22,7.643746357643977e-05,7.315512630157173e-05
23,7.454535079887137e-05,7.531894516432658e-05
24,7.395870488835499e-05,7.89688783697784e-05
25,7.384199125226587e-05,7.974718027980998e-05
26,7.343522156588733e-05,7.324020407395437e-05
27,7.282732258317992e-05,7.225074659800157e-05
28,7.298796117538586e-05,7.364404882537201e-05
29,7.292615191545337e-05,7.324952457565814e-05
30,7.310802902793512e-05,7.260325946845114e-05
31,7.296371040865779e-05,7.265913154697046e-05
32,7.230523624457419e-05,7.314677350223064e-05
33,7.236138480948284e-05,7.416835433105007e-05
34,7.259676203830168e-05,7.068910781526938e-05
35,7.159970118664205e-05,7.077928603393957e-05
36,7.22367039998062e-05,7.115265907486901e-05
37,7.286539766937494e-05,7.216929225251079e-05
38,7.227452442748472e-05,7.101824303390458e-05
39,7.13516419637017e-05,7.205949077615514e-05
40,7.249075861182064e-05,7.440798071911559e-05
41,7.246733730426058e-05,7.507302507292479e-05
42,7.132720929803327e-05,7.03599798725918e-05
43,7.234983058879152e-05,7.099068898241967e-05
44,7.10360036464408e-05,7.070088031468913e-05
45,7.1472764830105e-05,7.928509876364842e-05
46,7.144759001675993e-05,7.455941522493958e-05
47,7.167633884819224e-05,7.100237417034805e-05
48,7.087759877322242e-05,7.456266030203551e-05
49,7.232189818751067e-05,7.172418554546311e-05
50,7.126985292416066e-05,7.058567280182615e-05
51,7.136540079955012e-05,7.11015090928413e-05
52,7.183355774031952e-05,7.051855209283531e-05
53,7.066857506288216e-05,6.998876779107377e-05
54,7.207970338640735e-05,7.526302943006158e-05
55,7.125885895220563e-05,8.40546126710251e-05
56,7.117221684893593e-05,7.407458178931847e-05
57,7.132381142582744e-05,6.993761780904606e-05
58,7.154033664846793e-05,7.120401278370991e-05
59,7.163060217862949e-05,7.141172682167962e-05
60,7.156379433581606e-05,7.403043127851561e-05
61,7.064369128784165e-05,7.605090650031343e-05
62,7.071396976243705e-05,7.618472591275349e-05
63,7.03058103681542e-05,7.163652480812743e-05
64,7.146811549318954e-05,7.002599159022793e-05
65,7.03658806742169e-05,7.013440335867926e-05
66,7.02694887877442e-05,7.152171747293323e-05
67,7.090896542649716e-05,6.93545734975487e-05
68,7.068878767313436e-05,7.177924999268726e-05
69,7.02762117725797e-05,6.983720231801271e-05
70,7.008326792856678e-05,7.607164297951385e-05
71,7.07147701177746e-05,7.214133074739948e-05
72,7.041652133921161e-05,7.452780118910596e-05
73,7.020669727353379e-05,7.275847747223452e-05
74,7.078852650010958e-05,6.892457167850807e-05
75,6.990792462602258e-05,6.943571497686207e-05
76,7.025496597634628e-05,7.072882726788521e-05
77,7.128248398657888e-05,9.015653631649911e-05
78,7.066455873427913e-05,7.183049456216395e-05
79,6.959062011446804e-05,7.209883187897503e-05
80,7.045747770462185e-05,7.097313937265426e-05
81,7.022343197604641e-05,9.211659926222637e-05
82,7.077454938553274e-05,7.041980279609561e-05
83,7.067235856084153e-05,8.827053534332663e-05
84,7.088298298185691e-05,6.94203918101266e-05
85,7.014456059550866e-05,7.440039189532399e-05
86,7.061707583488896e-05,6.845592724857852e-05
87,7.010617991909385e-05,6.938810111023486e-05
88,6.985706568229944e-05,6.850350473541766e-05
89,7.069503772072494e-05,7.867087697377428e-05
90,7.049333362374455e-05,6.889522046549246e-05
91,7.01641256455332e-05,7.104103860910982e-05
92,6.961627514101565e-05,7.024541264399886e-05
93,7.017709867795929e-05,8.250611426774412e-05
94,6.980463513173163e-05,7.188219751697034e-05
95,6.996186857577413e-05,7.245624146889895e-05
96,6.99273805366829e-05,6.946756911929697e-05
97,7.030789129203185e-05,7.26505895727314e-05
98,6.983849016251042e-05,7.063442171784118e-05
99,6.953143747523427e-05,6.929035589564592e-05
100,6.92861940478906e-05,7.745762559352443e-05
101,7.004525832599029e-05,6.940995808690786e-05
102,6.924095941940323e-05,7.467446266673505e-05
103,7.00791206327267e-05,7.795468991389498e-05
104,6.941119499970227e-05,6.994888826739043e-05
105,6.928991206223145e-05,7.690226630074903e-05
106,6.922772445250303e-05,7.085628021741286e-05
107,6.986747030168772e-05,7.792580436216667e-05
108,6.936193676665425e-05,6.925122579559684e-05
109,6.995700823608786e-05,7.756968989269808e-05
110,6.937820580787957e-05,7.007381645962596e-05
111,6.923669570824131e-05,6.955267599551007e-05
112,6.905761983944103e-05,6.851887155789882e-05
113,6.927731010364369e-05,7.311282388400286e-05
114,6.96658535161987e-05,6.835373642388731e-05
115,7.034647569525987e-05,6.932629185030237e-05
116,6.902668974362314e-05,7.09759842720814e-05
117,6.952081457711756e-05,6.805032899137586e-05
118,6.947279325686395e-05,6.813628715462983e-05
119,6.908616342116147e-05,6.884089088998735e-05
120,6.912919343449175e-05,7.908838597359136e-05
121,6.95779308443889e-05,6.903056055307388e-05
122,6.952335388632491e-05,6.939736340427771e-05
123,6.969032983761281e-05,7.354409171966836e-05
124,6.941078754607588e-05,7.214843208203092e-05
125,6.924078479642048e-05,7.707742042839527e-05
126,6.962386396480724e-05,6.905518239364028e-05
127,6.844358722446486e-05,6.986155494814739e-05
128,6.980987382121384e-05,7.019350596237928e-05
129,6.857845437480137e-05,7.156736683100462e-05
130,6.902725726831704e-05,6.967009539948776e-05
131,6.934620614629239e-05,6.949827366042882e-05
132,6.848297198303044e-05,6.886175106046721e-05
133,6.897277489770204e-05,7.465390081051737e-05
134,6.840145215392113e-05,7.136311614885926e-05
135,6.988841050770134e-05,7.053009903756902e-05
136,6.893353565828875e-05,7.350272062467411e-05
137,6.903273606440052e-05,6.773258792236447e-05
138,6.913133256603032e-05,7.326911145355552e-05
139,6.919198494870216e-05,6.975221185712144e-05
140,6.815630331402645e-05,6.901675078552216e-05
141,6.960256723687053e-05,7.556055061286315e-05
142,6.919367297086865e-05,7.629409083165228e-05
143,6.96841161698103e-05,9.689227590570226e-05
144,6.94634800311178e-05,6.989647954469547e-05
145,6.882580782985315e-05,6.996187585173175e-05
146,6.86109415255487e-05,7.246810855576769e-05
147,6.90039451001212e-05,6.993655551923439e-05
148,6.830332131357864e-05,6.975893484195694e-05
149,6.968894740566611e-05,6.927796493982896e-05
150,6.872694211779162e-05,7.101250230334699e-05
151,6.934400153113529e-05,7.1044618380256e-05
152,6.875787221360952e-05,7.023292710073292e-05
153,7.043384539429098e-05,7.171137986006215e-05
154,6.909432704560459e-05,7.477881445083767e-05
155,6.919162115082145e-05,6.815599772380665e-05
156,6.854462117189541e-05,6.760442920494825e-05
157,6.909144576638937e-05,7.023016951279715e-05
158,6.895684055052698e-05,6.925179332029074e-05
159,6.900885637151077e-05,6.830705387983471e-05
160,6.856547406641766e-05,6.94388581905514e-05
161,6.888455391163006e-05,7.00158198014833e-05
162,6.852921796962619e-05,6.922892498550937e-05
163,6.772842607460916e-05,7.79511610744521e-05
164,6.859015411464497e-05,6.899198342580348e-05
165,6.851350917713717e-05,7.480623025912791e-05
166,6.911109085194767e-05,9.002839215099812e-05
167,6.928185030119494e-05,7.060475763864815e-05
168,6.880440923850983e-05,7.162721885833889e-05
169,6.833024963270873e-05,6.766060687368736e-05
170,6.855428364360705e-05,6.813672371208668e-05
171,6.851323996670544e-05,7.011120032984763e-05
172,6.875867256894708e-05,7.048122643027455e-05
173,6.874781684018672e-05,7.784719491610304e-05
174,6.905088957864791e-05,6.972063420107588e-05
175,6.804591976106167e-05,6.782370473956689e-05
176,6.854252569610253e-05,7.616802759002894e-05
177,6.897103594383225e-05,6.955563003430143e-05
178,6.851462239865214e-05,6.937352736713365e-05
179,6.864802708150819e-05,6.786322046536952e-05
180,6.763137207599357e-05,7.254828233271837e-05
181,6.866580224595964e-05,6.807330646552145e-05
182,6.880727596580982e-05,7.797130820108578e-05
183,6.869131902931258e-05,6.796506932005286e-05
184,6.84424230712466e-05,7.268504123203456e-05
185,6.834261876065284e-05,6.958247831789777e-05
186,6.874614336993545e-05,6.90528322593309e-05
187,6.856721302028745e-05,7.204541907412931e-05
188,6.814318476244807e-05,6.818476686021313e-05
189,6.899703294038773e-05,7.205308793345466e-05
190,6.846193718956783e-05,6.77338321111165e-05
191,6.948377995286137e-05,7.451536657754332e-05
192,6.828564801253378e-05,7.220653060358018e-05
193,6.812645733589306e-05,7.783355977153406e-05
194,6.854239472886547e-05,7.002741767792031e-05
195,6.939570448594168e-05,6.917343125678599e-05
196,6.905208283569664e-05,6.805934390285984e-05
197,6.840530841145664e-05,6.810085324104875e-05
198,6.827145261922851e-05,6.903212488396093e-05
199,6.977134034968913e-05,7.203394488897175e-05
200,6.855695392005146e-05,6.958633457543328e-05
201,6.872010271763429e-05,7.084426033543423e-05
202,6.829416088294238e-05,6.887822382850572e-05
203,6.816822133259848e-05,7.625396392541006e-05
204,6.918048893567175e-05,6.776513328077272e-05
205,6.883704190840945e-05,7.148013537516817e-05
206,6.846431642770767e-05,8.487397280987352e-05
207,6.870832294225693e-05,7.81890339567326e-05
208,6.967966328375041e-05,7.142237154766917e-05
209,6.770800246158615e-05,6.971573748160154e-05
210,6.826977914897725e-05,7.61208139010705e-05
211,6.868725176900625e-05,6.886325718369335e-05
212,6.821221177233383e-05,7.124238618416712e-05
213,6.797382957302034e-05,6.800789560656995e-05
214,6.874900282127783e-05,6.83208490954712e-05
215,6.885347829665989e-05,7.608399755554274e-05
216,6.809132901253179e-05,7.746396295260638e-05
217,6.846999895060435e-05,7.432851271005347e-05
